meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1239,9550,1,11,1,21,MEDIUM,0
1239,9550,1,31,1,19,MEDIUM,0
1239,9550,1,77,1,19,MEDIUM,0
1239,9550,1,63,1,22,MEDIUM,0
1239,9550,1,1,1,23,MEDIUM,0
1239,9550,1,27,1,11,MEDIUM,0
1239,9550,1,22,1,21,MEDIUM,0
1239,9550,1,2,1,1,MEDIUM,0
1239,9550,1,23,1,12,MEDIUM,0
1239,9550,1,3,1,10,MEDIUM,0
1239,9550,1,18,1,20,MEDIUM,1
1239,9550,1,4,1,23,MEDIUM,0
1239,9550,1,44,1,21,MEDIUM,0
1239,9550,1,24,1,28,HARD,0
1239,9550,1,14,1,11,MEDIUM,3
1239,9550,1,20,1,10,MEDIUM,0
1239,9550,1,55,1,22,MEDIUM,0
1239,9550,1,10,1,20,MEDIUM,0
1239,9550,1,81,1,25,MEDIUM,0
1239,9550,1,16,1,1,MEDIUM,0
1239,9550,2,16,2,16,HARD,0
1239,9550,2,2,2,20,MEDIUM,0
1239,9550,2,20,11,38,HARD,0
1239,9550,2,3,11,37,HARD,0
1239,9550,2,27,12,39,HARD,0
1239,9550,2,14,12,35,MEDIUM,0
1239,9550,2,23,13,39,HARD,0
1239,9550,3,16,17,33,MEDIUM,0
1239,9550,2,31,20,43,HARD,0
1239,9550,2,77,20,42,HARD,0
1239,9550,2,10,21,42,HARD,0
1239,9550,2,18,21,43,MEDIUM,0
1239,9550,3,2,21,49,HARD,0
1239,9550,2,44,22,53,HARD,0
1239,9550,2,11,22,51,HARD,0
1239,9550,2,22,22,44,HARD,0
1239,9550,2,55,23,47,HARD,0
1239,9550,2,63,23,46,MEDIUM,0
1239,9550,2,1,24,51,HARD,0
1239,9550,2,4,24,51,HARD,0
1239,9550,2,81,26,51,HARD,0
1239,9550,2,24,29,51,MEDIUM,0
1239,9550,4,16,34,51,MEDIUM,1
1239,9550,3,14,36,68,HARD,1
1239,9550,3,3,38,71,HARD,0
1239,9550,3,20,39,71,HARD,0
1239,9550,3,27,40,71,HARD,0
1239,9550,3,23,40,70,HARD,0
1239,9550,3,10,43,71,MEDIUM,0
1239,9550,3,77,43,70,HARD,0
1239,9550,3,31,44,71,MEDIUM,0
1239,9550,3,18,44,70,HARD,1
1239,9550,3,22,45,70,HARD,0
1239,9550,3,63,47,71,HARD,0
1239,9550,3,55,48,71,MEDIUM,0
1239,9550,4,2,50,69,MEDIUM,0
1239,9550,3,1,52,64,MEDIUM,3
1239,9550,3,4,52,64,MEDIUM,0
1239,9550,3,81,52,71,MEDIUM,0
1239,9550,3,11,52,71,MEDIUM,5
1239,9550,5,16,52,71,MEDIUM,6
1239,9550,3,24,52,70,HARD,0
1239,9550,3,44,54,71,MEDIUM,0
1239,9550,4,1,65,71,SOFT,0
1239,9550,4,14,69,70,SOFT,0
